cursos,ano
Regulamentação da Lei de Acesso à Informação nos Municípios,2018
eMAG Conteudista,2018
Federalismo e Federalismo Fiscal no Brasil,2018
Controle Social,2018
Introdução à Libras,2018
Noções Gerais de Direitos Autorais,2018
Microeconomia,2018
Provas no Processo Administrativo Disciplinar,2018
Macroeconomia,2018
Cidadania e Direitos Humanos ,2018
Formação de Pregoeiros,2018
Direitos Humanos: Uma Declaração Universal,2018
Gestão em Ouvidoria,2018
eMAG Desenvolvedor,2018
Resolução de Conflitos Aplicada ao Contexto das Ouvidorias,2018
Siape Folha,2018
Acesso a Recursos do Saneamento: Mecanismos OGU-PAC (Transferências Obrigatórias)/Curso 2,2018
Introdução à Gestão de Projetos,2018
Acesso a Recursos do Saneamento: Mecanismos OGU - NÃO PAC (Transferências Voluntárias) /Curso 3,2018
Introdução ao Orçamento Público,2018
Siconv para Convenentes 5 - Prestação de Contas,2018
Ciclo de Gestão do Investimento Público,2018
Sistema Eletrônico de Informações - SEI! USAR,2018
Planejamento Estratégico para Organizações Públicas,2018
Lei de Diretrizes Orçamentárias para Municípios,2018
Acesso à Informação,2018
Acesso a Recursos do Saneamento: Mecanismos PAC - Financiamento/Curso 4,2018
Estatística,2018
Principais Aspectos das Mudanças da Contabilidade Aplicada ao Setor Público,2018
Ações Inovadoras da CGU,2018
Noções Introdutórias de Licitação e Contratos Administrativos,2018
Introdução à Interoperabilidade,2018
Impactos da Mudança do Clima para a Gestão Municipal,2018
Gestão da Estratégia com BSC - Fundamentos,2018
Defesa do Usuário e Simplificação,2018
Federalismo Fiscal no Brasil,2018
Básico em Orçamento Público,2018
Siape Cadastro,2018
Formação de facilitadores de aprendizagem,2018
Controles Institucional e Social dos Gastos Públicos,2018
Conselhos dos Direitos da Pessoa com Deficiência,2018
Um Por Todos e Todos por Um - Pela Ética e Cidadania,2018
Formação de Conselheiros: Conselhos Tutelares,2018
Governo Aberto,2018
Introdução ao Estudo da Economia no Setor Público,2018
Avaliação de Impacto de Programas e Políticas Sociais,2018
Gestão da Informação e Documentação - Conceitos Básicos em Gestão Documental,2018
Conselhos de Promoção da Igualdade Racial,2018
Gestão de Conselhos de Direitos Humanos,2018
Conselhos dos Direitos da Criança e do Adolescente,2018
Direitos Humanos da Criança e do Adolescente,2018
Conselhos dos Direitos da Pessoa Idosa,2018
Promoção dos direitos da população em situação de rua,2018
Introdução à Vigilância Sanitária,2018
Introdução ao Estudo da Economia do Setor Público,2018
Divulgação de Compras,2018
Introdução ao Sistema de Gestão do Assentamento Funcional Digital - SGAFD,2018
Ética e Serviço Público,2018
Acesso a Recursos do Saneamento: Regras Gerais para Acesso aos Recursos de Saneamento/Curso 1,2018
"Logística de Suprimentos - Lei nº 8.666/93, Pregão e Registro de Preços",2018
Matemática Financeira,2018
Introdução à Gestão de Processos,2018
Desenho de Cursos: Introdução ao Modelo ADDIE,2018
Siconv para Convenentes 2 - Proponentes e Usuários,2018
Gestão e Fiscalização de Contratos Administrativos,2018
Promoção e Defesa dos Direitos LGBT,2018
Educação em Direitos Humanos,2018
Elaboração de Plano de Dados Abertos,2018
Regras e Fundamentos do Sistema de Concessão de Diárias e Passagens (SCDP),2018
Siconv para Convenentes 4 - Execução,2018
Siconv - Ordem Bancária de Transferência Voluntária (OBTV) - Concedente,2018
Siconv para Convenentes 1 - Visão Geral,2018
Siconv para Convenentes 3 - Proposta e Plano de Trabalho,2018
A Previdência Social dos Servidores Públicos: Regime Próprio e Regime de Previdência,2018
Gestão Estratégica de Pessoas e Planos de Carreira,2018
Tratamento de Denúncias em Ouvidoria,2018
Gestão de Riscos no Setor Público,2018
Das políticas às ações: direitos da pessoa idosa no Brasil,2018
Análise Ex Ante de Políticas Públicas,2018
Siape Folha,2022
Estatística,2022
Macroeconomia,2022
Microeconomia,2022
Portal Gov.Br,2022
Siafi Básico,2022
Governo Aberto,2022
Siape Cadastro,2022
Tesouro Direto,2022
Controle Social,2022
PNLD Literário,2022
Água e Gênero,2022
Comissão de PAR,2022
Salve uma Mulher,2022
eMAG Conteudista,2022
Papel do cidadão,2022
Pró-Gestão RPPS,2022
Tesouro Gerencial,2022
Assinatura Digital,2022
Democratizando BIM,2022
Equilíbrio Fiscal,2022
Gestão Documental,2022
Metrologia Básica,2022
Pró- Gestão RPPS,2022
eMAG Desenvolvedor,2022
BIM - Implantação,2022
Fundamentos da LGPD,2022
Gestão de projetos,2022
Metodologias Ativas,2022
Migração e Saúde,2022
Orçamento Público,2022
Active Methodologies,2022
Cidades Inteligentes,2022
Conhecendo o PROARTE,2022
Gestão em Ouvidoria,2022
Governança de Dados,2022
Learning with Python,2022
Papel do legislativo,2022
Reuniões produtivas,2022
Técnica Legislativa,2022
Active Methodologies ,2022
Aprendendo com Python,2022
Introdução ao Excel,2022
Sinalização Viária,2022
A importância do PNLD,2022
Acesso à Informação,2022
Emotional Intelligence,2022
Gestão Organizacional,2022
Inteligencia Emocional,2022
Introdução à Libras,2022
Matemática Financeira,2022
Problem-Solving Skills,2022
Armamento Institucional,2022
Comissões Processantes,2022
Estilos de Aprendizagem,2022
Gestão da Informação,2022
Inteligência Emocional,2022
SIAFI Ordens Bancárias,2022
Siafi Ordens Bancárias,2022
Accountability política,2022
Acessibilidade em Museus,2022
BIM - Fluxos de Trabalho,2022
Compliance Concorrencial,2022
FOTOGRAFIA INSTITUCIONAL,2022
Fotografia Institucional,2022
Gestão Fiscal Municipal,2022
Ações Inovadoras da CGU,2022
Gestão por Competências,2022
Inventário Participativo,2022
Transferências Especiais,2022
Uso responsável das TICs,2022
Comunicações Processuais,2022
Entendendo a Gamificação,2022
Gestão por Competências ,2022
Para Fazer uma Exposição,2022
Planejamento Governamental,2022
Procedimentos de Protocolo,2022
Ética e Serviço Público,2022
Admissibilidade Correcional,2022
Comunicação não violenta,2022
Direito e Novas Tecnologias,2022
Empresas e Direitos Humanos,2022
Etapas e procedimentos PNLD,2022
Gestão de Bens e Serviços,2022
BIM - Conceituação Básica,2022
MROSC: Prestação de Contas,2022
CORPAS - Operação de drones,2022
Gestão Tributária Municipal,2022
Gestão de Finanças Pessoais,2022
Gestão de Recursos Escolares,2022
Noções sobre cooperativismo,2022
Preparando-se para Execução,2022
S2ID - M0 - Acesso ao Sistema,2022
Valores Culturais da Natureza,2022
Autoconhecimento e Motivação,2022
Básico em Orçamento Público,2022
Educação em Direitos Humanos,2022
Enquadramento de Corpos Dágua,2022
Estruturas de Gestão Pública,2022
Etapas e Procedimentos do PNLD,2022
Políticas Públicas de Saúde,2022
SCDP - Aprovação e Pagamento,2022
Acessibilidade na Comunicação,2022
Biodiesel - Contexto e Métodos,2022
Censo Cadastral Previdenciário,2022
Conformidade cooperativa fiscal,2022
Contabilização de Benefícios,2022
Enquadramento de Corpos D'água,2022
Gênero e atuação legislativa,2022
Liderança e Gestão De Equipes,2022
Liderança e Gestão de Equipes,2022
MROSC 5 - Prestação de Contas,2022
MROSC: Seleção e Celebração,2022
Análise de Dados em Linguagem R,2022
Análise e Melhoria de Processos,2022
Biodiesel - Contextos e Métodos,2022
Gestão de Projetos Educacionais,2022
Gestão do Tempo e Produtividade,2022
Introdução à Audiodescrição,2022
Termo de Compromisso: Execução,2022
Formação de Pregoeiros - Teoria,2022
Gestão participativa nas cidades,2022
Acessibilidade em Espaços Urbanos,2022
Acessibilidade em espaços urbanos,2022
Ambientes Digitais de Aprendizagem,2022
Auditoria e Controle Para Estatais,2022
Crianças e Adolescentes Migrantes,2022
Infraestrutura Econômica e Urbana,2022
Liberdade Religiosa e Estado Laico,2022
Políticas Públicas de Educação,2022
Primeira Infância Primeiro no PPA,2022
S2ID - M4 - Plano de Contingência,2022
SEI! Usar para Deficientes Visuais,2022
Ampliação das Receitas Municipais,2022
Assédio Moral: O que saber e fazer,2022
Avaliadores de Artigos Científicos,2022
Avaliação estratégica de governo,2022
Estratégias de Metodologias Ativas,2022
Gestão Orçamentária e Financeira,2022
Gestão de Conflitos e Negociação,2022
Introdução ao Orçamento Público,2022
Introdução à Gestão de Projetos,2022
Lei nº 8112/90 e suas alterações,2022
SUPER.BR - Usuário Interno Básico,2022
Atividade Correcional - Visão Geral,2022
Defesa do Usuário e Simplificação,2022
Gestão Pessoal - Base da Liderança,2022
Introdução ao Sistema Sigepe - AFD,2022
Introdução à Gestão de Processos,2022
Lei nº 8.112/90 e suas alterações,2022
MROSC: Planejamento e Transparência,2022
Noções Básicas do Trabalho Remoto,2022
Noções Gerais de Direitos Autorais,2022
Noções básicas do Trabalho Remoto,2022
O Brasil e a OCDE: Noções Básicas,2022
Políticas Públicas e Governo Local,2022
Atividade Correcional  - Visão Geral,2022
Conceitos de Fiscalização Aduaneira,2022
Consórcios Públicos Intermunicipais,2022
Controles na Administração Pública,2022
Desenvolvimento humano no século XXI,2022
Documentação de Acervo Museológico,2022
Elaboração e monitoramento do PDTIC,2022
ForRisco - Gestão de Riscos para IES,2022
Gerenciamento de Projetos na Prática,2022
Gestão Compartilhada no Projeto Orla,2022
Gestão de Equipes em Trabalho Remoto,2022
Inovações em Tecnologia Educacional,2022
Integração e Interoperabilidade BIM,2022
MROSC - Planejamento e Transparência,2022
Me Poupe! Invista com Nathalia Arcuri,2022
Me poupe! Invista com Nathalia Arcuri,2022
S2ID - M0 - Todos - Acesso ao Sistema,2022
Tratamento de Denúncias em Ouvidoria,2022
Uso do Design em Políticas Públicas,2022
Contratações Públicas Sustentáveis,2022
Controle social do orçamento público,2022
Design Thinking Aplicado à Educação,2022
Formação de pregoeiro - Visão Geral,2022
Formação para Voluntariado com Mães,2022
Gestión Personal - Base del Liderazgo,2022
Gestão de Convênios para Concedentes,2022
Introdução à Vigilância Sanitária,2022
Nova lei de licitações: Visão Geral,2022
Princípios de Economia: Macroeconomia,2022
Princípios de Economia: Microeconomia,2022
Redação Oficial: Tópicos Essenciais,2022
Scrum no Contexto do Serviço Público,2022
Siconv para Convenentes 4 - Execução,2022
Soft Skills na Transformação Digital,2022
Teletrabalho e Educação a Distância,2022
eSocial para Órgãos Públicos - RPPS,2022
Ágil no Contexto do Serviço Público,2022
Desenvolvendo Times de Alta Performance,2022
Gestão da Inovação no Setor Público,2022
Habilidades de Resolução de Problemas,2022
Introdução à Defesa da Concorrência,2022
Produção de Vídeos: uma introdução,2022
S2ID - M5 - Plantonista - Monitoramento,2022
Temos que dar aulas remotas... E agora?,2022
Transferências da União: Visão Geral,2022
UX Writing para Transformação Digital,2022
A Liderança Pública em Tempos de Crise,2022
A liderança pública em tempos de crise,2022
Análise Ex Ante de Políticas Públicas,2022
Elaboração de Relatórios de Auditoria,2022
Serviços públicos e defesa do usuário,2022
Siconv para Convenentes 1 - Visão Geral,2022
Agile in the Context of the Public Sector,2022
Agile in the context of the Public Sector,2022
Ciclo de Gestão do Investimento Público,2022
